Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
Seattle Seahawks,2,Detroit Lions,4.5,37.0,6.0,2023,10.5,0.4359415,2.564864,,-0.053100539999999974,
New Orleans Saints,1,Tennessee Titans,-3.0,16.0,1.0,2023,-2.0,,,,,
New York Giants,3,San Francisco 49ers,10.0,12.0,-18.0,2023,-8.0,0.5617315769195557,6.049087047576904,0.0,0.008355140686035156,12.357222080230713
Baltimore Ravens,2,Cincinnati Bengals,3.5,27.0,3.0,2023,6.5,0.49946325999999996,-4.365124,,0.09399610999999997,
Washington Commanders,1,Arizona Cardinals,-7.0,20.0,4.0,2023,-3.0,,,,,
Chicago Bears,1,Green Bay Packers,-1.5,20.0,-18.0,2023,-19.5,,,,,
Los Angeles Rams,2,San Francisco 49ers,7.5,23.0,-7.0,2023,0.5,0.54173264,-3.2521782,,0.013134210000000035,
Miami Dolphins,1,Los Angeles Chargers,3.0,36.0,2.0,2023,5.0,,,,,
New York Giants,1,Dallas Cowboys,2.5,0.0,-40.0,2023,-37.5,,,,,
Minnesota Vikings,2,Philadelphia Eagles,5.6,28.0,-6.0,2023,-0.40000000000000036,0.44116074000000005,-3.2314384,,-0.020097359999999953,
San Francisco 49ers,2,Los Angeles Rams,-7.5,30.0,7.0,2023,-0.5,0.52859843,-4.5766325,,-0.013134210000000035,
Detroit Lions,1,Kansas City Chiefs,4.0,21.0,1.0,2023,5.0,,,,,
Los Angeles Rams,3,Cincinnati Bengals,1.5,16.0,-3.0,2023,-1.5,0.5228101015090942,-1.5184215307235718,15.0,0.01572871208190918,0.11476492881774902
Tampa Bay Buccaneers,2,Chicago Bears,-2.5,27.0,10.0,2023,7.5,0.50920483,7.881182,,0.10373768000000005,
Tennessee Titans,3,Cleveland Browns,3.0,3.0,-24.0,2023,-21.0,0.42554259300231934,4.50513219833374,9.0,-0.08270400762557983,4.676305577158928
